,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,savais,knew
32,33,étaient,were
33,34,attention,Warning
34,35,voici,here is
35,36,pourrais,could
36,37,affaire,case
37,38,donner,give
38,39,type,type
39,40,leurs,their
40,41,donné,given
41,43,corps,body
42,44,endroit,place
43,45,yeux,eyes
44,46,façon,way
45,47,écoute,listen
46,48,dont,whose
47,49,trouve,find
48,50,premier,first
49,51,perdu,lost
50,52,main,hand
51,53,première,first
52,54,côté,side
53,55,pouvoir,power
54,56,vieux,old
55,57,sois,be
56,58,tiens,here
57,59,matin,morning
58,60,tellement,so much
59,61,point,point
60,62,venu,came
61,63,suite,after
62,64,pardon,sorry
63,65,venez,come
64,66,devant,in front of
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,71,mis,placed
69,72,belle,beautiful
70,73,droit,law
71,74,aimerais,would like to
72,75,aujourd'hui,today
73,76,mari,husband
74,77,cause,cause
75,79,espère,hope
76,80,eau,water
77,81,attendez,Wait
78,82,parti,left
79,83,nouvelle,new
80,84,boulot,job
81,85,arrêter,Stop
82,86,dirait,would say
83,87,compte,account
84,88,donne,given
85,89,loin,far
86,90,fin,end
87,91,croire,believe
88,92,chérie,sweetheart
89,93,gros,large
90,94,plutôt,rather
91,95,aura,will have
92,96,filles,girls
93,97,jouer,to play
94,98,bureau,office
